distribution, operations, algorithm, threshold, iterations, seed, n_server,  Real_time, Simulation_time, RAM_Usage
exponential, true, 1, -1, 50,12345,3,0,10,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,14,-1.0
exponential, true, 1, -1, 50,12345,3,0,3,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,7,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,17,-1.0
exponential, true, 1, -1, 50,12345,3,0,12,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,9,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,22,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,11,-1.0
exponential, true, 1, -1, 100,12345,3,0,16,-1.0
exponential, true, 1, -1, 100,12345,3,0,14,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,11,-1.0
exponential, true, 1, -1, 100,12345,3,0,26,-1.0
exponential, true, 1, -1, 100,12345,3,0,25,-1.0
exponential, true, 1, -1, 100,12345,3,0,13,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,10,-1.0
exponential, true, 1, -1, 100,12345,3,0,20,-1.0
exponential, true, 1, -1, 100,12345,3,0,12,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,12,-1.0
exponential, true, 1, -1, 100,12345,3,0,7,-1.0
exponential, true, 1, -1, 100,12345,3,0,28,-1.0
exponential, true, 1, -1, 150,12345,3,0,22,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,26,-1.0
exponential, true, 1, -1, 150,12345,3,0,18,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,17,-1.0
exponential, true, 1, -1, 150,12345,3,0,25,-1.0
exponential, true, 1, -1, 150,12345,3,0,24,-1.0
exponential, true, 1, -1, 150,12345,3,0,21,-1.0
exponential, true, 1, -1, 150,12345,3,0,16,-1.0
exponential, true, 1, -1, 150,12345,3,0,11,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,16,-1.0
exponential, true, 1, -1, 150,12345,3,0,22,-1.0
exponential, true, 1, -1, 150,12345,3,0,11,-1.0
exponential, true, 1, -1, 150,12345,3,0,15,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,23,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,34,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,18,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,36,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,24,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,17,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,29,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,39,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,33,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,40,-1.0
exponential, true, 1, -1, 250,12345,3,0,22,-1.0
exponential, true, 1, -1, 250,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,25,-1.0
exponential, true, 1, -1, 250,12345,3,0,22,-1.0
exponential, true, 1, -1, 250,12345,3,0,30,-1.0
exponential, true, 1, -1, 250,12345,3,0,25,-1.0
exponential, true, 1, -1, 250,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,22,-1.0
exponential, true, 1, -1, 300,12345,3,0,26,-1.0
exponential, true, 1, -1, 300,12345,3,0,30,-1.0
exponential, true, 1, -1, 300,12345,3,0,26,-1.0
exponential, true, 1, -1, 300,12345,3,0,30,-1.0
exponential, true, 1, -1, 300,12345,3,0,36,-1.0
exponential, true, 1, -1, 300,12345,3,0,29,-1.0
exponential, true, 1, -1, 300,12345,3,0,25,-1.0
exponential, true, 1, -1, 300,12345,3,0,29,-1.0
exponential, true, 1, -1, 300,12345,3,0,24,-1.0
exponential, true, 1, -1, 300,12345,3,0,28,-1.0
exponential, true, 1, -1, 300,12345,3,0,29,-1.0
exponential, true, 1, -1, 300,12345,3,0,26,-1.0
exponential, true, 1, -1, 300,12345,3,0,25,-1.0
exponential, true, 1, -1, 300,12345,3,0,25,-1.0
exponential, true, 1, -1, 300,12345,3,0,27,-1.0
exponential, true, 1, -1, 300,12345,3,0,28,-1.0
exponential, true, 1, -1, 300,12345,3,0,28,-1.0
exponential, true, 1, -1, 300,12345,3,0,27,-1.0
exponential, true, 1, -1, 300,12345,3,0,28,-1.0
exponential, true, 1, -1, 300,12345,3,0,24,-1.0
exponential, true, 1, -1, 350,12345,3,0,31,-1.0
exponential, true, 1, -1, 350,12345,3,0,29,-1.0
exponential, true, 1, -1, 350,12345,3,0,30,-1.0
exponential, true, 1, -1, 350,12345,3,0,31,-1.0
exponential, true, 1, -1, 350,12345,3,0,30,-1.0
exponential, true, 1, -1, 350,12345,3,0,29,-1.0
exponential, true, 1, -1, 350,12345,3,0,29,-1.0
exponential, true, 1, -1, 350,12345,3,0,34,-1.0
exponential, true, 1, -1, 350,12345,3,0,32,-1.0
exponential, true, 1, -1, 350,12345,3,0,33,-1.0
exponential, true, 1, -1, 350,12345,3,0,30,-1.0
exponential, true, 1, -1, 350,12345,3,0,30,-1.0
exponential, true, 1, -1, 350,12345,3,0,33,-1.0
exponential, true, 1, -1, 350,12345,3,0,28,-1.0
exponential, true, 1, -1, 350,12345,3,0,43,-1.0
exponential, true, 1, -1, 350,12345,3,0,31,-1.0
exponential, true, 1, -1, 350,12345,3,0,36,-1.0
exponential, true, 1, -1, 350,12345,3,0,30,-1.0
exponential, true, 1, -1, 350,12345,3,0,28,-1.0
exponential, true, 1, -1, 350,12345,3,0,35,-1.0
exponential, true, 1, -1, 400,12345,3,0,35,-1.0
exponential, true, 1, -1, 400,12345,3,0,32,-1.0
exponential, true, 1, -1, 400,12345,3,0,39,-1.0
exponential, true, 1, -1, 400,12345,3,0,36,-1.0
exponential, true, 1, -1, 400,12345,3,0,52,-1.0
exponential, true, 1, -1, 400,12345,3,0,37,-1.0
exponential, true, 1, -1, 400,12345,3,0,39,-1.0
exponential, true, 1, -1, 400,12345,3,0,38,-1.0
exponential, true, 1, -1, 400,12345,3,0,34,-1.0
exponential, true, 1, -1, 400,12345,3,0,35,-1.0
exponential, true, 1, -1, 400,12345,3,0,46,-1.0
exponential, true, 1, -1, 400,12345,3,0,37,-1.0
exponential, true, 1, -1, 400,12345,3,0,39,-1.0
exponential, true, 1, -1, 400,12345,3,0,35,-1.0
exponential, true, 1, -1, 400,12345,3,0,33,-1.0
exponential, true, 1, -1, 400,12345,3,0,33,-1.0
exponential, true, 1, -1, 400,12345,3,0,32,-1.0
exponential, true, 1, -1, 400,12345,3,0,35,-1.0
exponential, true, 1, -1, 400,12345,3,0,38,-1.0
exponential, true, 1, -1, 400,12345,3,0,37,-1.0
exponential, true, 1, -1, 600,12345,3,0,56,-1.0
exponential, true, 1, -1, 600,12345,3,0,54,-1.0
exponential, true, 1, -1, 600,12345,3,0,53,-1.0
exponential, true, 1, -1, 600,12345,3,0,51,-1.0
exponential, true, 1, -1, 600,12345,3,0,52,-1.0
exponential, true, 1, -1, 600,12345,3,0,50,-1.0
exponential, true, 1, -1, 600,12345,3,0,49,-1.0
exponential, true, 1, -1, 600,12345,3,0,53,-1.0
exponential, true, 1, -1, 600,12345,3,0,52,-1.0
exponential, true, 1, -1, 600,12345,3,0,48,-1.0
exponential, true, 1, -1, 600,12345,3,0,47,-1.0
exponential, true, 1, -1, 600,12345,3,0,51,-1.0
exponential, true, 1, -1, 600,12345,3,0,52,-1.0
exponential, true, 1, -1, 600,12345,3,0,48,-1.0
exponential, true, 1, -1, 600,12345,3,0,50,-1.0
exponential, true, 1, -1, 600,12345,3,0,58,-1.0
exponential, true, 1, -1, 600,12345,3,0,47,-1.0
exponential, true, 1, -1, 600,12345,3,0,49,-1.0
exponential, true, 1, -1, 600,12345,3,0,58,-1.0
exponential, true, 1, -1, 600,12345,3,0,51,-1.0

exponential, true, 1, -1, 1000,12345,3,0,99,-1.0
exponential, true, 1, -1, 1000,12345,3,0,103,-1.0
exponential, true, 1, -1, 1000,12345,3,0,86,-1.0
exponential, true, 1, -1, 1000,12345,3,0,84,-1.0
exponential, true, 1, -1, 1000,12345,3,0,86,-1.0
exponential, true, 1, -1, 1000,12345,3,0,82,-1.0
exponential, true, 1, -1, 1000,12345,3,0,86,-1.0
exponential, true, 1, -1, 1000,12345,3,0,86,-1.0
exponential, true, 1, -1, 1000,12345,3,0,81,-1.0
exponential, true, 1, -1, 1000,12345,3,0,83,-1.0
exponential, true, 1, -1, 1000,12345,3,0,84,-1.0
exponential, true, 1, -1, 1000,12345,3,0,83,-1.0
exponential, true, 1, -1, 1000,12345,3,0,82,-1.0
exponential, true, 1, -1, 1000,12345,3,0,85,-1.0
exponential, true, 1, -1, 1000,12345,3,0,95,-1.0
exponential, true, 1, -1, 1000,12345,3,0,82,-1.0
exponential, true, 1, -1, 1000,12345,3,0,88,-1.0
exponential, true, 1, -1, 1000,12345,3,0,89,-1.0
exponential, true, 1, -1, 1000,12345,3,0,98,-1.0
exponential, true, 1, -1, 1000,12345,3,0,87,-1.0
exponential, true, 1, -1, 1500,12345,3,0,136,-1.0
exponential, true, 1, -1, 1500,12345,3,0,126,-1.0
exponential, true, 1, -1, 1500,12345,3,0,124,-1.0
exponential, true, 1, -1, 1500,12345,3,0,122,-1.0
exponential, true, 1, -1, 1500,12345,3,0,124,-1.0
exponential, true, 1, -1, 1500,12345,3,0,124,-1.0
exponential, true, 1, -1, 1500,12345,3,0,127,-1.0
exponential, true, 1, -1, 1500,12345,3,0,125,-1.0
exponential, true, 1, -1, 1500,12345,3,0,135,-1.0
exponential, true, 1, -1, 1500,12345,3,0,137,-1.0
exponential, true, 1, -1, 1500,12345,3,0,130,-1.0
exponential, true, 1, -1, 1500,12345,3,0,130,-1.0
exponential, true, 1, -1, 1500,12345,3,0,129,-1.0
exponential, true, 1, -1, 1500,12345,3,0,138,-1.0
exponential, true, 1, -1, 1500,12345,3,0,126,-1.0
exponential, true, 1, -1, 1500,12345,3,0,121,-1.0
exponential, true, 1, -1, 1500,12345,3,0,124,-1.0
exponential, true, 1, -1, 1500,12345,3,0,131,-1.0
exponential, true, 1, -1, 1500,12345,3,0,121,-1.0
exponential, true, 1, -1, 1500,12345,3,0,126,-1.0
exponential, true, 1, -1, 2000,12345,3,0,185,-1.0
exponential, true, 1, -1, 2000,12345,3,0,170,-1.0
exponential, true, 1, -1, 2000,12345,3,0,166,-1.0
exponential, true, 1, -1, 2000,12345,3,0,167,-1.0
exponential, true, 1, -1, 2000,12345,3,0,162,-1.0
exponential, true, 1, -1, 2000,12345,3,0,163,-1.0
exponential, true, 1, -1, 2000,12345,3,0,164,-1.0
exponential, true, 1, -1, 2000,12345,3,0,162,-1.0
exponential, true, 1, -1, 2000,12345,3,0,172,-1.0
exponential, true, 1, -1, 2000,12345,3,0,171,-1.0
exponential, true, 1, -1, 2000,12345,3,0,163,-1.0
exponential, true, 1, -1, 2000,12345,3,0,160,-1.0
exponential, true, 1, -1, 2000,12345,3,0,162,-1.0
exponential, true, 1, -1, 2000,12345,3,0,161,-1.0
exponential, true, 1, -1, 2000,12345,3,0,166,-1.0
exponential, true, 1, -1, 2000,12345,3,0,164,-1.0
exponential, true, 1, -1, 2000,12345,3,0,169,-1.0
exponential, true, 1, -1, 2000,12345,3,0,162,-1.0
exponential, true, 1, -1, 2000,12345,3,0,182,-1.0
exponential, true, 1, -1, 2000,12345,3,0,168,-1.0
exponential, true, 1, -1, 3000,12345,3,0,249,-1.0
exponential, true, 1, -1, 3000,12345,3,0,245,-1.0
exponential, true, 1, -1, 3000,12345,3,0,244,-1.0
exponential, true, 1, -1, 3000,12345,3,0,245,-1.0
exponential, true, 1, -1, 3000,12345,3,0,255,-1.0
exponential, true, 1, -1, 3000,12345,3,0,254,-1.0
exponential, true, 1, -1, 3000,12345,3,0,257,-1.0
exponential, true, 1, -1, 3000,12345,3,0,241,-1.0
exponential, true, 1, -1, 3000,12345,3,0,253,-1.0
exponential, true, 1, -1, 3000,12345,3,0,246,-1.0
exponential, true, 1, -1, 3000,12345,3,0,245,-1.0
exponential, true, 1, -1, 3000,12345,3,0,244,-1.0
exponential, true, 1, -1, 3000,12345,3,0,254,-1.0
exponential, true, 1, -1, 3000,12345,3,0,244,-1.0
exponential, true, 1, -1, 3000,12345,3,0,248,-1.0
exponential, true, 1, -1, 3000,12345,3,0,257,-1.0
exponential, true, 1, -1, 3000,12345,3,0,243,-1.0
exponential, true, 1, -1, 3000,12345,3,0,250,-1.0
exponential, true, 1, -1, 3000,12345,3,0,256,-1.0
exponential, true, 1, -1, 3000,12345,3,0,246,-1.0
exponential, true, 1, -1, 5000,12345,3,0,413,-1.0
exponential, true, 1, -1, 5000,12345,3,0,407,-1.0
exponential, true, 1, -1, 5000,12345,3,0,419,-1.0
exponential, true, 1, -1, 5000,12345,3,0,411,-1.0
exponential, true, 1, -1, 5000,12345,3,0,408,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,406,-1.0
exponential, true, 1, -1, 5000,12345,3,0,422,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,419,-1.0
exponential, true, 1, -1, 5000,12345,3,0,414,-1.0
exponential, true, 1, -1, 5000,12345,3,0,405,-1.0
exponential, true, 1, -1, 5000,12345,3,0,409,-1.0
exponential, true, 1, -1, 5000,12345,3,0,424,-1.0
exponential, true, 1, -1, 5000,12345,3,0,404,-1.0
exponential, true, 1, -1, 5000,12345,3,0,404,-1.0
exponential, true, 1, -1, 5000,12345,3,0,418,-1.0
exponential, true, 1, -1, 5000,12345,3,0,412,-1.0
exponential, true, 1, -1, 5000,12345,3,0,408,-1.0
exponential, true, 1, -1, 5000,12345,3,0,403,-1.0