distribution, operations, algorithm, threshold, iterations, seed, n_server, Global_sys_throughput, Cloud_throughput, Cloudlet_throughput, Global_class1_throughput, Cloud_class1_throughput, Cloudlet_class1_throughput,Global_class2_throughput, Cloud_class2_throughput, Cloudlet_class2_throughput
exponential, true, 1, -1, 50,12345,3,4.572764023208963,3.9325770599597085,0.640186963249255,2.926568974853737,2.56074785299702,0.36582112185671706,1.6461950483552268,1.371829206962689,0.27436584139253783
exponential, true, 1, -1, 50,12345,3,10.830205805451662,9.747185224906495,1.0830205805451663,6.498123483270997,6.0649152510529305,0.4332082322180665,4.332082322180665,3.682269973853565,0.6498123483270997
exponential, true, 1, -1, 50,12345,3,3.4294847578162733,3.0179465868783204,0.41153817093795275,1.8519217692207874,1.5775629885954856,0.27435878062530183,1.5775629885954854,1.4403835982828346,0.13717939031265092
exponential, true, 1, -1, 50,12345,3,13.117362014042644,10.756236851514968,2.3611251625276757,7.345722727863881,6.033986526459616,1.3117362014042644,5.771639286178763,4.722250325055351,1.0493889611234115
exponential, true, 1, -1, 50,12345,3,10.065477179520517,9.058929461568466,1.006547717952052,5.23404813335067,4.831429046169849,0.40261908718082073,4.831429046169849,4.227500415398618,0.6039286307712312
exponential, true, 1, -1, 50,12345,3,8.744069118648355,7.519899442037586,1.22416967661077,4.19715317695121,3.497627647459342,0.6995255294918684,4.546915941697145,4.022271794578244,0.5246441471189014
exponential, true, 1, -1, 50,12345,3,6.8976547535783475,5.518123802862678,1.3795309507156694,3.724733566932308,2.897014996502906,0.8277185704294017,3.17292118664604,2.6211088063597723,0.5518123802862678
exponential, true, 1, -1, 50,12345,3,7.401914252580834,5.77349311701305,1.6284211355677836,4.293110266496884,3.256842271135567,1.0362679953613168,3.10880398608395,2.5166508458774834,0.5921531402064667
exponential, true, 1, -1, 50,12345,3,2.922515500814435,2.3964627106678367,0.5260527901465982,1.1105558903094852,0.9352049602606192,0.1753509300488661,1.8119596105049496,1.4612577504072173,0.3507018600977322
exponential, true, 1, -1, 50,12345,3,4.051018957987129,3.4838763038689304,0.567142654118198,2.0255094789935644,1.7824483415143366,0.24306113747922772,2.0255094789935644,1.701427962354594,0.3240815166389703
exponential, true, 1, -1, 50,12345,3,11.994745408082826,11.0351657754362,0.9595796326466262,6.23726761220307,5.997372704041413,0.23989490816165654,5.7574777958797565,5.037793071394787,0.7196847244849696
exponential, true, 1, -1, 50,12345,3,5.104401631857645,4.083521305486116,1.020880326371529,2.450112783291669,2.1438486853802106,0.30626409791145864,2.654288848565975,1.939672620105905,0.7146162284600702
exponential, true, 1, -1, 50,12345,3,11.996128807196087,10.796515926476477,1.1996128807196085,5.038374099022356,4.798451522878434,0.2399225761439217,6.957754708173729,5.998064403598042,0.9596903045756868
exponential, true, 1, -1, 50,12345,3,9.489496463985676,8.350756888307394,1.1387395756782812,3.9855885148739842,3.4162187270348436,0.5693697878391406,5.503907949111692,4.934538161272552,0.5693697878391406
exponential, true, 1, -1, 50,12345,3,7.144370971633151,6.001271616171847,1.1430993554613043,4.2866225829798905,3.5721854858165756,0.7144370971633152,2.8577483886532606,2.4290861303552713,0.4286622582979891
exponential, true, 1, -1, 50,12345,3,8.655101243624406,7.9626931441344535,0.6924080994899525,3.981346572067227,3.635142522322251,0.34620404974497626,4.673754671557179,4.327550621812203,0.34620404974497626
exponential, true, 1, -1, 50,12345,3,8.369250002255379,6.862785001849411,1.5064650004059683,4.352010001172797,3.682470000992367,0.6695400001804304,4.017240001082582,3.180315000857044,0.836925000225538
exponential, true, 1, -1, 50,12345,3,8.154561847473401,7.176014425776593,0.9785474216968082,4.892737108484041,4.403463397635637,0.4892737108484041,3.2618247389893607,2.7725510281409567,0.4892737108484041
exponential, true, 1, -1, 50,12345,3,8.210176149829866,7.060751488853685,1.1494246609761813,4.597698643904725,4.105088074914933,0.492610568989792,3.6124775059251415,2.955663413938752,0.6568140919863893
exponential, true, 1, -1, 50,12345,3,2.2152870255542205,2.038064063509883,0.17722296204433766,1.1519492532881948,1.0190320317549415,0.13291722153325325,1.063337772266026,1.0190320317549415,0.044305740511084414
exponential, true, 1, -1, 100,12345,3,11.711654994676229,10.306256395315081,1.4053985993611475,7.261226096699262,6.441410247071926,0.819815849627336,4.450428897976967,3.8648461482431555,0.5855827497338114
exponential, true, 1, -1, 100,12345,3,12.1287831453679,10.79461699937743,1.3341661459904688,6.670830729952344,5.821815909776592,0.8490148201757529,5.457952415415554,4.972801089600838,0.485151325814716
exponential, true, 1, -1, 100,12345,3,10.664243983924516,9.70446202537131,0.9597819585532066,5.332121991962258,4.905552232605277,0.42656975935698066,5.332121991962258,4.7989097927660325,0.5332121991962259
exponential, true, 1, -1, 100,12345,3,8.91779103761542,7.758478202725415,1.1593128348900046,4.9939629810646355,4.280539698055402,0.7134232830092336,3.923828056550785,3.4779385046700138,0.445889551880771
exponential, true, 1, -1, 100,12345,3,6.084849496681612,5.354667557079818,0.7301819396017933,2.677333778539909,2.3730913037058285,0.30424247483408057,3.407515718141702,2.9815762533739893,0.42593946476771277
exponential, true, 1, -1, 100,12345,3,6.793800501893629,6.182358456723202,0.6114420451704267,3.396900250946815,3.193086235890006,0.20381401505680888,3.3969002509468145,2.9892722208331968,0.40762803011361776
exponential, true, 1, -1, 100,12345,3,11.834154593303255,11.005763771772028,0.8283908215312278,4.970344929187367,4.61532029138827,0.35502463779909765,6.863809664115887,6.390443480383757,0.4733661837321302
exponential, true, 1, -1, 100,12345,3,10.201308896489193,9.385204184770057,0.8161047117191355,5.406693715139273,4.896628270314813,0.5100654448244597,4.79461518134992,4.488575914455245,0.3060392668946758
exponential, true, 1, -1, 100,12345,3,8.654528438559542,7.35634917277561,1.298179265783931,4.846535925593343,4.240718934894175,0.6058169906991678,3.8079925129661976,3.1156302378814345,0.6923622750847632
exponential, true, 1, -1, 100,12345,3,3.8285422926891917,3.3308317946395967,0.4977104980495949,2.0674128380521637,1.79941487756392,0.2679979604882434,1.7611294546370282,1.5314169170756766,0.2297125375613515
exponential, true, 1, -1, 100,12345,3,3.9381041368830174,3.662436847301206,0.2756672895818112,1.6933847788596974,1.4964795720155466,0.19690520684415086,2.24471935802332,2.1659572752856593,0.07876208273766035
exponential, true, 1, -1, 100,12345,3,7.312540357418946,6.361910110954483,0.950630246464463,3.7293955822836624,3.290643160838526,0.43875242144513676,3.583144775135284,3.0712669501159575,0.5118778250193262
exponential, true, 1, -1, 100,12345,3,11.076202836984868,10.07934458165623,0.9968582553286381,5.205815333382888,4.984291276643191,0.22152405673969736,5.870387503601981,5.09505330501304,0.7753341985889408
exponential, true, 1, -1, 100,12345,3,9.21879977199187,7.928167803913008,1.2906319680788618,4.148459897396341,3.5031439133569107,0.6453159840394309,5.070339874595529,4.425023890556098,0.6453159840394309
exponential, true, 1, -1, 100,12345,3,4.828200142202261,4.490226132248103,0.33797400995415827,2.6072280767892213,2.3658180696791082,0.24141000711011307,2.2209720654130405,2.124408062568995,0.09656400284404523
exponential, true, 1, -1, 100,12345,3,8.05669599055826,7.412160311313599,0.6445356792446608,3.6255131957512168,3.3032453561288864,0.3222678396223304,4.431182794807043,4.108914955184712,0.3222678396223304
exponential, true, 1, -1, 100,12345,3,11.831686727550041,9.938616851142035,1.8930698764080065,5.560892761948519,4.141090354642515,1.419802407306005,6.270793965601522,5.79752649649952,0.4732674691020016
exponential, true, 1, -1, 100,12345,3,8.169065603754776,6.943705763191559,1.2253598405632162,4.166223457914935,3.594388865652101,0.5718345922628343,4.00284214583984,3.349316897539458,0.6535252483003821
exponential, true, 1, -1, 100,12345,3,12.550831223226467,11.421256413136085,1.129574810090382,6.777448860542291,6.024398987148704,0.753049873393588,5.773382362684174,5.39685742598738,0.376524936696794
exponential, true, 1, -1, 100,12345,3,3.450005153486824,3.001504483533537,0.44850066995328713,1.7595026282782802,1.5525023190690708,0.20700030920920945,1.690502525208544,1.4490021644644662,0.24150036074407769
exponential, true, 1, -1, 150,12345,3,6.528981819302056,5.919610182833864,0.6093716364681919,3.87386254611922,3.482123636961097,0.39173890915812337,2.6551192731828364,2.4374865458727677,0.21763272731006855
exponential, true, 1, -1, 150,12345,3,11.116352469379532,9.856499189516517,1.2598532798630135,5.780503284077356,5.113522135914584,0.6669811481627719,5.335849185302175,4.742977053601933,0.5928721317002417
exponential, true, 1, -1, 150,12345,3,5.726896780724523,4.963310543294587,0.7635862374299365,2.863448390362262,2.5198345835187905,0.3436138068434714,2.863448390362262,2.443475959775797,0.41997243058646505
exponential, true, 1, -1, 150,12345,3,7.909321978556086,7.171118593890852,0.7382033846652347,3.954660989278043,3.6910169233261736,0.26364406595186957,3.954660989278043,3.480101670564678,0.4745593187133652
exponential, true, 1, -1, 150,12345,3,10.852508675440028,10.056658039241093,0.7958506361989354,5.209204164211213,4.775103817193612,0.4341003470176011,5.6433045112288145,5.28155422204748,0.36175028918133423
exponential, true, 1, -1, 150,12345,3,10.18179437894463,9.299372199436096,0.8824221795085347,5.362411706244172,4.9551399310863875,0.40727177515778523,4.819382672700459,4.344232268349709,0.47515040435074946
exponential, true, 1, -1, 150,12345,3,11.236584751227761,9.963105146088616,1.2734796051391464,6.142666330671177,5.468471245597511,0.6741950850736658,5.0939184205565855,4.494633900491105,0.5992845200654807
exponential, true, 1, -1, 150,12345,3,8.403140903604257,7.394763995171745,1.0083769084325107,3.6973819975858726,3.3052354220843405,0.3921465755015319,4.705758906018383,4.089528573087405,0.6162303329309787
exponential, true, 1, -1, 150,12345,3,5.824282972552449,5.358340334748253,0.465942637804196,2.640341614223777,2.523855954772728,0.116485659451049,3.1839413583286724,2.8344843799755255,0.349456978353147
exponential, true, 1, -1, 150,12345,3,6.050791205866109,5.7684209495923575,0.2823702562737518,3.146411427050377,3.0253956029330547,0.12101582411732219,2.9043797788157324,2.743025346659303,0.16135443215642958
exponential, true, 1, -1, 150,12345,3,6.951567412292481,6.349098236560466,0.6024691757320151,3.197721009654541,2.8733145304142256,0.3244064792403158,3.7538464026379397,3.4757837061462404,0.27806269649169923
exponential, true, 1, -1, 150,12345,3,9.176305882421543,7.8916230588825265,1.284682823539016,4.5269775686612945,3.792873098067571,0.7341044705937234,4.649328313760248,4.098749960814955,0.5505783529452926
exponential, true, 1, -1, 150,12345,3,13.09182013045096,12.131753320884556,0.9600668095664037,7.069582870443519,6.458631264355807,0.6109516060877115,6.022237260007441,5.673122056528749,0.34911520347869224
exponential, true, 1, -1, 150,12345,3,10.394236336903713,9.28551779430065,1.1087185426030628,5.1278232595391655,4.781348714975708,0.3464745445634571,5.266413077364549,4.504169079324943,0.7622439980396057
exponential, true, 1, -1, 150,12345,3,10.483545545815105,9.365300687594827,1.1182448582202777,4.542869736519879,3.98374730740974,0.5591224291101389,5.940675809295226,5.381553380185087,0.5591224291101389
exponential, true, 1, -1, 150,12345,3,9.0106708421985,8.22974603587463,0.78092480632387,4.08483744846332,3.72441061477538,0.36042683368794,4.92583339373518,4.50533542109925,0.42049797263593
exponential, true, 1, -1, 150,12345,3,6.7804326998135345,6.237998083828452,0.5424346159850828,2.9833903879179555,2.6669701952599905,0.31642019265796495,3.7970423118955794,3.5710278885684614,0.22601442332711782
exponential, true, 1, -1, 150,12345,3,12.99154402881983,11.865610212988777,1.1259338158310517,6.235941133833518,5.716279372680725,0.5196617611527932,6.7556028949863105,6.1493308403080515,0.6062720546782586
exponential, true, 1, -1, 150,12345,3,9.939172254042143,8.812732731917366,1.126439522124776,4.5720192368593855,4.3732357917785425,0.19878344508084284,5.367153017182757,4.439496940138823,0.9276560770439333
exponential, true, 1, -1, 150,12345,3,10.917247345302913,9.752740961803935,1.1645063834989773,5.240278725745398,4.658025533995909,0.5822531917494886,5.676968619557514,5.094715427808025,0.5822531917494886
exponential, true, 1, -1, 200,12345,3,12.022450929459854,10.940430345808467,1.082020583651387,7.033133793734016,6.3718989926137235,0.661234801120292,4.989317135725839,4.568531353194745,0.42078578253109494
exponential, true, 1, -1, 200,12345,3,10.445766003359113,9.401189403023201,1.0445766003359114,5.5362559817803305,4.909510021578783,0.6267459602015468,4.909510021578783,4.491679381444419,0.41783064013436455
exponential, true, 1, -1, 200,12345,3,8.674287142716828,7.850229864158729,0.8240572785580986,4.07691495707691,3.7733149070818204,0.303600049995089,4.5973721856399195,4.07691495707691,0.5204572285630097
exponential, true, 1, -1, 200,12345,3,12.029470337110322,11.187407413512599,0.8420629235977224,5.713998410127402,5.172672244957438,0.5413261651699645,6.315471926982918,6.01473516855516,0.300736758427758
exponential, true, 1, -1, 200,12345,3,5.751898956027375,5.205468555204774,0.5464304008226006,3.1635444258150565,2.8759494780136876,0.28759494780136874,2.5883545302123188,2.3295190771910868,0.2588354530212319
exponential, true, 1, -1, 200,12345,3,8.973519398354982,8.165902652503034,0.8076167458519483,4.217554117226841,3.813745744300867,0.40380837292597416,4.75596528112814,4.352156908202166,0.40380837292597416
exponential, true, 1, -1, 200,12345,3,10.654803802507072,9.642597441268899,1.0122063612381718,4.901209749153253,4.528291616065506,0.3729181330877475,5.753594053353819,5.114305825203394,0.6392882281504243
exponential, true, 1, -1, 200,12345,3,9.960023267671454,9.31262175527281,0.6474015123986445,4.93021151749737,4.581610703128869,0.3486008143685009,5.029811750174084,4.73101105214394,0.29880069803014364
exponential, true, 1, -1, 200,12345,3,9.668911281578282,8.411952814973105,1.2569584666051765,4.737766527973358,3.9159090690392038,0.8218574589341539,4.931144753604923,4.496043745933901,0.43510100767102267
exponential, true, 1, -1, 200,12345,3,5.505055574087526,5.009600572419649,0.4954550016678774,2.890154176395952,2.6149013976915754,0.27525277870437637,2.6149013976915754,2.3946991747280744,0.2202022229635011
exponential, true, 1, -1, 200,12345,3,9.057156986540015,8.196727072818714,0.8604299137213015,4.438006923404608,4.030434859010307,0.4075720643943007,4.619150063135408,4.166292213808408,0.4528578493270008
exponential, true, 1, -1, 200,12345,3,9.79197083546865,8.812773751921785,0.979197083546865,4.1615876050741765,3.6719890633007437,0.4895985417734325,5.630383230394473,5.140784688621041,0.4895985417734325
exponential, true, 1, -1, 200,12345,3,8.197085352619924,7.664274804699629,0.5328105479202951,3.565732128389667,3.23784871428487,0.327883414104797,4.631353224230257,4.426426090414759,0.20492713381549812
exponential, true, 1, -1, 200,12345,3,8.85421504986337,7.791709243879766,1.0625058059836046,4.161481073435784,3.7187703209426157,0.44271075249316855,4.692733976427586,4.07293892293715,0.619795053490436
exponential, true, 1, -1, 200,12345,3,10.507206183974105,9.403949534656824,1.103256649317281,5.148531030147311,4.623170720948606,0.5253603091987052,5.358675153826794,4.780778813708218,0.5778963401185757
exponential, true, 1, -1, 200,12345,3,10.060538772526904,8.601760650510503,1.4587781220164011,5.080572080126086,4.2254262844612995,0.8551457956647869,4.979966692400818,4.376334366049203,0.6036323263516142
exponential, true, 1, -1, 200,12345,3,12.234244445994143,11.316676112544583,0.9175683334495608,5.99477977853713,5.505410000697364,0.48936977783976576,6.239464667457013,5.811266111847218,0.42819855560979503
exponential, true, 1, -1, 200,12345,3,11.154595899500478,10.094909289047933,1.0596866104525455,5.186887093267723,4.573384318795196,0.6135027744725263,5.967708806232756,5.521524970252737,0.44618383598001915
exponential, true, 1, -1, 200,12345,3,9.665182086564494,8.698663877908045,0.9665182086564493,4.68761331198378,4.156028297222733,0.5315850147610471,4.977568774580714,4.542635580685312,0.4349331938954022
exponential, true, 1, -1, 200,12345,3,9.87040652100426,8.834013836298812,1.0363926847054472,4.688443097477024,4.244274804031832,0.4441682934451917,5.181963423527236,4.589739032266981,0.5922243912602556
exponential, true, 1, -1, 250,12345,3,11.582703954394422,10.470764374772557,1.1119395796218643,6.6253066619136085,5.976675240467521,0.6486314214460875,4.957397292480812,4.494089134305035,0.4633081581757768
exponential, true, 1, -1, 250,12345,3,8.485018471385237,7.636516624246712,0.8485018471385236,4.208569161807077,3.7334081274095037,0.47516103439757323,4.276449309578159,3.9031084968372083,0.3733408127409504
exponential, true, 1, -1, 250,12345,3,11.49171136258813,10.480440762680375,1.0112705999077556,5.607955144943008,5.194253535889835,0.4137016090531727,5.883756217645123,5.28618722679054,0.5975689908545828
exponential, true, 1, -1, 250,12345,3,6.371223013051603,5.785070495850856,0.5861525172007475,3.389490642943453,3.0581870462647696,0.33130359667868337,2.9817323701081504,2.726883449586086,0.25484892052206415
exponential, true, 1, -1, 250,12345,3,11.68588548498753,10.657527562308628,1.0283579226789028,5.515737948914114,5.048302529514613,0.46743541939950123,6.170147536073417,5.609225032794015,0.5609225032794015
exponential, true, 1, -1, 250,12345,3,7.533095779548358,6.990712883420876,0.5423828961274818,3.6761507404195988,3.4350916754740513,0.24105906494554746,3.8569450391287594,3.555621207946825,0.30132383118193434
exponential, true, 1, -1, 250,12345,3,11.434102012633327,10.24495540331946,1.189146609313866,5.305423333861864,4.619377213103864,0.6860461207579996,6.128678678771464,5.625578190215597,0.5031004885558664
exponential, true, 1, -1, 250,12345,3,6.118911971153849,5.458069478269233,0.6608424928846157,3.230785520769232,2.839175154615386,0.3916103661538463,2.8881264503846165,2.6188943236538473,0.26923212673076935
exponential, true, 1, -1, 250,12345,3,10.917430691875875,10.044036236525805,0.87339445535007,5.022018118262903,4.628990613355371,0.39302750490753147,5.895412573612972,5.415045623170434,0.48036695044253847
exponential, true, 1, -1, 250,12345,3,12.101940845874946,11.18219334158845,0.9197475042864958,5.5184850257189755,5.131222918650977,0.38726210706799824,6.58345582015597,6.050970422937472,0.5324853972184975
exponential, true, 1, -1, 250,12345,3,9.722343168876115,8.983445088041531,0.7388980808345849,4.433388485007509,4.083384130927969,0.35000435407954017,5.2889546838686075,4.9000609571135625,0.38889372675504463
exponential, true, 1, -1, 250,12345,3,10.951073303261353,9.812161679722172,1.1389116235391807,5.212710892352403,4.599450787369768,0.6132601049826357,5.738362410908949,5.212710892352404,0.5256515185565449
exponential, true, 1, -1, 250,12345,3,8.07240881905214,7.103719760765882,0.9686890582862567,3.9716251389736525,3.422701339278107,0.5489237996955455,4.100783680078487,3.6810184214877757,0.41976525859071123
